year,half,type,count
2023,2,Takedown notices or counter notice reversal,965
2023,2,Counter notices, retractions, or reversals,24
2023,2,Notices of legal actions filed,1
2023,1,Takedown notices or counter notice reversal,1086
2023,1,"Counter notices, retractions, or reversals",11
2023,1,Notices of legal actions filed,0
