year,type,count
2022,Takedown notices or counter notice reversal,2321
2022,"Counter notices, retractions, or reversals",44
2022,Notices of legal actions filed,0
2021,Takedown notices or counter notice reversal,1828
2021,"Counter notices, retractions, or reversals",46
2021,Notices of legal actions filed,3
